Nx=          50 Ny=           8 Jd=  -1.73205080756888     
  0.000000000000000E+000        3600        6000
       1      16           0.006563945          -0.017316288           0.001451360
       9      24           0.014397699          -0.013780770          -0.002687743
      17      32           0.016457981          -0.020885040          -0.001847353
      25      40           0.020175741          -0.023675046          -0.000230771
      33      48           0.015949456          -0.014345365          -0.000846341
      41      56           0.013777733          -0.023845887           0.000640697
      49      64           0.016341078          -0.019274499          -0.002324117
      57      72           0.015057123          -0.022687986          -0.001499786
      65      80           0.018062507          -0.024761831          -0.000519128
      73      88           0.014867814          -0.018530960          -0.001132682
      81      96           0.013794365          -0.024358899          -0.000475469
      89     104           0.015722184          -0.021818187          -0.001799238
      97     112           0.014376900          -0.022575414          -0.001321253
     105     120           0.015719034          -0.023688530          -0.000882340
     113     128           0.014333455          -0.020999199          -0.001249513
     121     136           0.014059404          -0.023453215          -0.001047541
     129     144           0.015096645          -0.022611229          -0.001419854
     137     152           0.014405352          -0.022463339          -0.001247004
     145     160           0.014835029          -0.023122129          -0.001106820
     153     168           0.014528798          -0.022194648          -0.001257653
     161     176           0.014295971          -0.022794428          -0.001203058
     169     184           0.014751012          -0.022837621          -0.001234018
     177     192           0.014541646          -0.022485538          -0.001257567
     185     200           0.014580954          -0.022878457          -0.001209597
     193     208           0.014637940          -0.022601536          -0.001221416
     201     216           0.014379649          -0.022525107          -0.001213524
     209     224           0.014603315          -0.022872357          -0.001187552
     217     232           0.014644050          -0.022602766          -0.001313156
     225     240           0.014636995          -0.022903056          -0.001237742
     233     248           0.014586479          -0.022469591          -0.001260084
     241     256           0.014336756          -0.022630741          -0.001266733     
     249     264           0.014755439          -0.022906873          -0.001204745
     257     272           0.014634179          -0.022566628          -0.001456340
     265     280           0.014861427          -0.023287908          -0.001133961
     273     288           0.014346627          -0.021636582          -0.001184114
     281     296           0.014236294          -0.023124746          -0.001010405
     289     304           0.015390745          -0.022915251          -0.001302083
     297     312           0.014615058          -0.022104697          -0.001787116
     305     320           0.015346678          -0.023924767          -0.000713972
     313     328           0.013870774          -0.019345038          -0.001099247
     321     336           0.014567698          -0.024183098          -0.000666810
     329     344           0.017340823          -0.022724027          -0.001551379
     337     352           0.015091050          -0.020072229          -0.002350653
     345     360           0.016141350          -0.023665145           0.000337973
     353     368           0.013646925          -0.014896448          -0.000835000
     361     376           0.015890628          -0.023597706          -0.000272758
     369     384           0.019880523          -0.020710730          -0.001900615
     377     392           0.015952500          -0.013900925          -0.002755274
     385     400           0.013621760          -0.016963266           0.001381410

       2       9           0.010382540          -0.017627612           0.001842856
      10      17           0.018668948          -0.013999680          -0.001739192
      18      25           0.022660559          -0.021012403          -0.002507929
      26      33           0.026610133          -0.023705192           0.000421663
      34      41           0.023355130          -0.014367864          -0.000738545
      42      49           0.025626161          -0.023936313           0.001547717
      50      57           0.028539168          -0.019378464          -0.000820409
      58      65           0.030721497          -0.022839737          -0.001355967
      66      73           0.031854869          -0.024910453           0.000672406
      74      81           0.030429913          -0.018653109          -0.000413545
      82      89           0.031544268          -0.024507521           0.000814314
      90      97           0.032795652          -0.021983141          -0.000321359
      98     105           0.033465664          -0.022729001          -0.000548138
     106     113           0.033204087          -0.023845765           0.000458874
     114     121           0.032846481          -0.021146038          -0.000154103
     122     129           0.033296019          -0.023610954           0.000269807
     130     137           0.033650576          -0.022781093          -0.000061548
     138     145           0.033768515          -0.022619544          -0.000192896
     146     153           0.033553765          -0.023281167           0.000224370
     154     161           0.033509140          -0.022348623          -0.000033653
     162     169           0.033635944          -0.022953820           0.000063206
     170     177           0.033662760          -0.023002716           0.000061499
     178     185           0.033694761          -0.022642097          -0.000080824
     186     193           0.033667917          -0.023035786           0.000082236
     194     201           0.033648473          -0.022759657           0.000041411
     202     209           0.033611376          -0.022684794           0.000035365
     210     217           0.033606857          -0.023032504           0.000060173
     218     225           0.033737481          -0.022759930          -0.000061248
     226     233           0.033768352          -0.023055775           0.000048161
     234     241           0.033679271          -0.022633356           0.000040910
     242     249           0.033523319          -0.022628826           0.000048835
     250     257           0.033600544          -0.023060168          -0.000058991
     258     265           0.033870282          -0.022715952          -0.000136957
     266     273           0.033797039          -0.023435586           0.000177972
     274     281           0.033440675          -0.021806685          -0.000026219
     282     289           0.033127619          -0.023286607           0.000293896
     290     297           0.033411107          -0.023066896          -0.000401962
     298     305           0.033757066          -0.022247851          -0.000311134
     306     313           0.033208511          -0.024073992           0.000595367
     314     321           0.032051737          -0.019543680          -0.000252292
     322     329           0.031167015          -0.024361312           0.000563688
     330     337           0.032268075          -0.022862238          -0.001281502
     338     345           0.031586856          -0.020235748          -0.000707892
     346     353           0.029661308          -0.023867568           0.001321187
     354     361           0.026770756          -0.015157864          -0.000685875
     362     369           0.024451091          -0.023889642           0.000437044
     370     377           0.027088708          -0.020860884          -0.002548858
     378     385           0.022804442          -0.013834137          -0.001594006
     386     393           0.018296985          -0.016758923           0.001778205

